mol_index,id,smiles,point_group,order,max_rotation_order,confidence,method,assembly_index
11649,gdb_11756,[H]C([H])([H])O[C@@]12C([H])([H])[N@H+](C([H])([H])[H])[C@]1([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11650,gdb_11757,[H]OC([H])([H])[C@@]12N([H])[C@]1([H])[C@]([H])(O[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.09
11651,gdb_11758,[H]OC([H])([H])[C@@]12O[C@]1([H])[C@]([H])(O[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11652,gdb_11759,[H]OC([H])([H])[C@]12C([H])([H])[C@@]1([H])[C@@]([H])(O[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11653,gdb_11760,[H]C#C[C@]12C([H])=C([H])[C@]([H])(C1([H])[H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.0
11654,gdb_11761,[H]C#C[C@@]12O[C@@]([H])(C([H])=C1[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.81
11655,gdb_11762,[H]C1=C([H])[C@]2(C#N)C([H])([H])[C@@]1([H])C2([H])[H],Cs,2,1,0.73,pymatgen,7.91
11656,gdb_11763,[H]C1=C([H])[C@]2([H])N([H])[C@@]1(C#N)C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.81
11657,gdb_11764,[H]C1=C([H])[C@@]2(C#N)O[C@]1([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.7
11658,gdb_11765,[H]C#C[C@]12C([H])([H])C([H])([H])[C@]([H])(C1([H])[H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.17
11659,gdb_11766,[H]C#C[C@]12OC([H])([H])[C@]([H])(C1([H])[H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.0
11660,gdb_11767,[H]C#C[C@]12C([H])([H])O[C@]([H])(C1([H])[H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.0
11661,gdb_11768,[H]C#C[C@]12O[C@]([H])(C([H])([H])C1([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11662,gdb_11769,[H]C1([H])C([H])([H])[C@]2(C#N)C([H])([H])[C@@]1([H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.09
11663,gdb_11770,[H]N1C([H])([H])[C@]2([H])C([H])([H])[C@@]1(C#N)C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11664,gdb_11771,[H]C1([H])O[C@]2(C#N)C([H])([H])[C@@]1([H])C2([H])[H],Cs,2,1,0.73,pymatgen,7.91
11665,gdb_11772,[H]C1([H])O[C@]2([H])C([H])([H])[C@@]1(C#N)C2([H])[H],Cs,2,1,0.73,pymatgen,7.91
11666,gdb_11773,[H]N1[C@]2([H])C([H])([H])C([H])([H])[C@@]1(C#N)C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11667,gdb_11774,[H]C1([H])C([H])([H])[C@]2(C#N)O[C@@]1([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.91
11668,gdb_11775,[H]C1([H])[N@H+]2C([H])([H])[C@@](C#N)(C1([H])[H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.09
11669,gdb_11776,[H]C1=C([H])[C@]2(C([H])=O)C([H])([H])[C@@]1([H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.0
11670,gdb_11777,[H]C(=O)[C@]12C([H])=C([H])[C@]([H])(N1[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.91
11671,gdb_11778,[H]C(=O)[C@@]12O[C@@]([H])(C([H])=C1[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.81
11672,gdb_11779,[H]C(=O)[C@]12C([H])([H])C([H])([H])[C@]([H])(C1([H])[H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.17
11673,gdb_11780,[H]C(=O)[C@]12OC([H])([H])[C@]([H])(C1([H])[H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.0
11674,gdb_11781,[H]C(=O)[C@]12C([H])([H])O[C@]([H])(C1([H])[H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.0
11675,gdb_11782,[H]C(=O)[C@]12O[C@]([H])(C([H])([H])C1([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11676,gdb_11783,[H]C1=C([H])[C@]2(C([H])([H])C([H])([H])[H])C([H])([H])[C@@]1([H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.32
11677,gdb_11784,[H]C1=C([H])[C@]2([H])O[C@@]1(C([H])([H])C([H])([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11678,gdb_11785,[H]C1=C([H])[C@]2(OC([H])([H])[H])C([H])([H])[C@@]1([H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.17
11679,gdb_11786,[H]OC([H])([H])[C@]12C([H])=C([H])[C@]([H])(C1([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11680,gdb_11787,[H]OC([H])([H])[C@@]12O[C@@]([H])(C([H])=C1[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11681,gdb_11788,[H]C([H])([H])C([H])([H])[C@]12C([H])([H])C([H])([H])[C@]([H])(C1([H])[H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.46
11682,gdb_11789,[H]C([H])([H])C([H])([H])[C@]12OC([H])([H])[C@]([H])(C1([H])[H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.32
11683,gdb_11790,[H]C([H])([H])C([H])([H])[C@]12C([H])([H])O[C@]([H])(C1([H])[H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.32
11684,gdb_11791,[H]C([H])([H])C([H])([H])[C@]12O[C@]([H])(C([H])([H])C1([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11685,gdb_11792,[H]C([H])([H])O[C@]12C([H])([H])C([H])([H])[C@]([H])(C1([H])[H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.32
11686,gdb_11793,[H]C([H])([H])O[C@]12C([H])([H])O[C@]([H])(C1([H])[H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.17
11687,gdb_11794,[H]OC([H])([H])[C@]12C([H])([H])C([H])([H])[C@]([H])(C1([H])[H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.32
11688,gdb_11795,[H]OC([H])([H])[C@]12OC([H])([H])[C@]([H])(C1([H])[H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.17
11689,gdb_11796,[H]OC([H])([H])[C@]12C([H])([H])O[C@]([H])(C1([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11690,gdb_11797,[H]OC([H])([H])[C@]12O[C@]([H])(C([H])([H])C1([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11691,gdb_11798,[H][N-]C1OC2(C([H])([H])C2([H])[H])[C@@]1([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11692,gdb_11799,[H]C1([H])C(=O)[C@]([H])(C([H])([H])[H])C12C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11693,gdb_11800,[H]N1C([H])([H])[C@@]12C([H])([H])C(=O)[C@]2([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.09
11694,gdb_11801,[H]C1([H])O[C@]12C([H])([H])C(=O)[C@]2([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11695,gdb_11802,[H]N1C(=O)[C@]([H])(C([H])([H])[H])C12C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.09
11696,gdb_11803,[H]C1([H])C([H])([H])C12OC(=O)[C@]2([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11697,gdb_11804,[H]C([H])([H])N1C(=O)C([H])([H])C12C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.09
11698,gdb_11805,[H][N-]C1OC2(C([H])([H])C2([H])[H])[C@@]1([H])N([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.09
11699,gdb_11806,[H]N([H])[C@@]1([H])C(=O)OC12C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.91
11700,gdb_11807,[H][N-]C1OC2(C([H])([H])C2([H])[H])[C@@]1([H])O[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11701,gdb_11808,[H]O[C@@]1([H])C(=O)C([H])([H])C12C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11702,gdb_11809,[H]O[C@@]1([H])C(=O)C([H])([H])[C@]12N([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.91
11703,gdb_11810,[H]O[C@@]1([H])C(=O)C([H])([H])[C@]12OC2([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.81
11704,gdb_11811,[H]O[C@@]1([H])C(=O)N([H])C12C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.91
11705,gdb_11812,[H]O[C@@]1([H])C(=O)OC12C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.81
11706,gdb_11813,[H]C1([H])C([H])([H])C12C(=O)[C@@]([H])(C([H])([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11707,gdb_11814,[H]N1C([H])([H])[C@@]12C(=O)[C@@]([H])(C([H])([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.09
11708,gdb_11815,[H]C([H])([H])[C@]1([H])C(=O)[C@]2(OC2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11709,gdb_11816,[H]N1C2(C(=O)[C@@]1([H])C([H])([H])[H])C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.09
11710,gdb_11817,[H]C1([H])C([H])([H])C12O[C@]([H])(C([H])([H])[H])C2=O,C1,1,1,0.6900000000000001,pymatgen,8.0
11711,gdb_11818,[H]C([H])([H])N1C(=O)C2(C1([H])[H])C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.09
11712,gdb_11819,[H]N1C([H])([H])[C@@]12C(=O)N(C([H])([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11713,gdb_11820,[H]C([H])([H])N1C(=O)[C@]2(OC2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.91
11714,gdb_11821,[H]O[C@]1([H])C(=O)C2(C([H])([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11715,gdb_11822,[H]O[C@]1([H])C(=O)[C@]2(N([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.91
11716,gdb_11823,[H]O[C@]1([H])C(=O)[C@]2(OC2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.81
11717,gdb_11824,[H]O[C@@]1([H])C([H])([H])C2(C([H])([H])C2([H])[H])[C@@]1([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11718,gdb_11825,[H]O[C@@]1([H])C([H])([H])[C@]2(N([H])C2([H])[H])[C@@]1([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.25
11719,gdb_11826,[H]O[C@@]1([H])C([H])([H])[C@]2(OC2([H])[H])[C@@]1([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11720,gdb_11827,[H]C1([H])C([H])([H])C12C([H])([H])[C@]([H])(C([H])([H])[H])[C@]2([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.46
11721,gdb_11828,[H]O[C@]1([H])C2(C([H])([H])C2([H])[H])C([H])([H])[C@]1([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11722,gdb_11829,[H]O[C@@]1([H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]12N([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.25
11723,gdb_11830,[H]C([H])([H])[C@@]1([H])C([H])([H])[C@@]2(OC2([H])[H])[C@@]1([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11724,gdb_11831,[H]O[C@@]1([H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]12OC2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11725,gdb_11832,[H]C([H])([H])[N@H+]1C([H])([H])[C@]2(OC2([H])[H])[C@@]1([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11726,gdb_11833,[H]C1([H])C([H])([H])C12O[C@]([H])(C([H])([H])[H])[C@]2([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11727,gdb_11834,[H]O[C@]1([H])C2(O[C@]1([H])C([H])([H])[H])C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11728,gdb_11835,[H]O[C@@]1([H])C([H])([H])C2(C([H])([H])C2([H])[H])[C@@]1([H])O[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11729,gdb_11836,[H]O[C@]1([H])[C@]2(N([H])C2([H])[H])C([H])([H])[C@]1([H])O[H],C1,1,1,0.6900000000000001,pymatgen,8.09
11730,gdb_11837,[H]O[C@]1([H])[C@]2(OC2([H])[H])C([H])([H])[C@]1([H])O[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11731,gdb_11838,[H]C#CC1([H])C([H])([H])C2(C([H])([H])C2([H])[H])C1([H])[H],Cs,2,1,0.73,pymatgen,8.17
11732,gdb_11839,[H]C#C[C@]1([H])OC2(C([H])([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11733,gdb_11840,[H]C#C[C@]1([H])C([H])([H])[C@]2(OC2([H])[H])C1([H])[H],Cs,2,1,0.73,pymatgen,8.0
11734,gdb_11841,[H]C1([H])C([H])([H])C12C([H])([H])C([H])(C#N)C2([H])[H],Cs,2,1,0.73,pymatgen,8.09
11735,gdb_11842,[H]N1C2(C([H])([H])C2([H])[H])C([H])([H])[C@]1([H])C#N,C1,1,1,0.6900000000000001,pymatgen,8.0
11736,gdb_11843,[H]C1([H])C([H])([H])C12O[C@@]([H])(C#N)C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.91
11737,gdb_11844,[H]N1C([H])([H])[C@]12C([H])([H])[C@]([H])(C#N)C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11738,gdb_11845,[H]C1([H])O[C@]12C([H])([H])[C@@]([H])(C#N)C2([H])[H],Cs,2,1,0.73,pymatgen,7.91
11739,gdb_11846,[H]C(=O)C1([H])C([H])([H])C2(C([H])([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11740,gdb_11847,[H]C(=O)[C@]1([H])OC2(C([H])([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11741,gdb_11848,[H]C(=O)[C@]1([H])C([H])([H])[C@]2(N([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.09
11742,gdb_11849,[H]C(=O)[C@]1([H])C([H])([H])[C@]2(OC2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11743,gdb_11850,[H]C(=O)N1C([H])([H])C2(C1([H])[H])C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.09
11744,gdb_11851,[H]C(=O)N1C([H])([H])C2(N([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11745,gdb_11852,[H]C(=O)N1C([H])([H])C2(OC2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.91
11746,gdb_11853,[H]C([H])([H])[NH2+]C1OC2(C1([H])[H])C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11747,gdb_11854,[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C2(C([H])([H])C2([H])[H])C1([H])[H],Cs,2,1,0.73,pymatgen,8.46
11748,gdb_11855,[H]C([H])([H])C([H])([H])[C@]1([H])OC2(C([H])([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11749,gdb_11856,[H]C([H])([H])C([H])([H])[C@]1([H])C([H])([H])[C@]2(OC2([H])[H])C1([H])[H],Cs,2,1,0.73,pymatgen,8.32
11750,gdb_11857,[H]C([H])([H])C([H])([H])[N@H+]1C([H])([H])[C@]2(OC2([H])[H])C1([H])[H],Cs,2,1,0.73,pymatgen,8.32
11751,gdb_11858,[H]C([H])([H])OC1([H])C([H])([H])C2(C([H])([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11752,gdb_11859,[H]N1C([H])([H])[C@]12C([H])([H])[C@]([H])(OC([H])([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.25
11753,gdb_11860,[H]C([H])([H])O[C@]1([H])C([H])([H])[C@]2(OC2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11754,gdb_11861,[H]OC([H])([H])C1([H])C([H])([H])C2(C([H])([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11755,gdb_11862,[H]OC([H])([H])[C@]1([H])OC2(C([H])([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11756,gdb_11863,[H]OC([H])([H])[C@]1([H])C([H])([H])[C@]2(N([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.25
11757,gdb_11864,[H]OC([H])([H])[C@]1([H])C([H])([H])[C@]2(OC2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11758,gdb_11865,[H][N-]C1=C([H])[C-]([H])C2(O1)C([H])([H])C2([H])[H],Cs,2,1,0.73,pymatgen,7.91
11759,gdb_11866,[H]C1=C([H])C2(C([H])([H])C1=O)C([H])([H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.0
11760,gdb_11867,[H]C1=C([H])[C@]2(N([H])C2([H])[H])C([H])([H])C1=O,C1,1,1,0.6900000000000001,pymatgen,7.91
11761,gdb_11868,[H]C1=C([H])[C@]2(OC2([H])[H])C([H])([H])C1=O,C1,1,1,0.6900000000000001,pymatgen,7.81
11762,gdb_11869,[H]C1=C([H])C2(N([H])C1=O)C([H])([H])C2([H])[H],Cs,2,1,0.73,pymatgen,7.91
11763,gdb_11870,[H]C1=C([H])C2(OC1=O)C([H])([H])C2([H])[H],Cs,2,1,0.73,pymatgen,7.81
11764,gdb_11871,[H][N-]C1OC([H])([H])C2(C1([H])[H])C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11765,gdb_11872,[H][N-]C1OC([H])([H])[C@]2(N([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.09
11766,gdb_11873,[H][N-]C1OC([H])([H])[C@]2(OC2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11767,gdb_11874,[H][N-]C1OC2(C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11768,gdb_11875,[H][N-]C1OC([H])([H])C2(O1)C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11769,gdb_11876,[H]N1C(=O)C([H])([H])C2(C1([H])[H])C([H])([H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.09
11770,gdb_11877,[H]C1([H])OC(=O)C([H])([H])C12C([H])([H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.0
11771,gdb_11878,[H]N1C(=O)C([H])([H])[C@@]2(N([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11772,gdb_11879,[H]N1C([H])([H])[C@@]12C([H])([H])OC(=O)C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.91
11773,gdb_11880,[H]N1C(=O)C([H])([H])[C@@]2(OC2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.91
11774,gdb_11881,[H]C1([H])OC(=O)C([H])([H])[C@@]12OC2([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.81
11775,gdb_11882,[H]C1([H])C(=O)C([H])([H])C2(C1([H])[H])C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11776,gdb_11883,[H]N1C(=O)C([H])([H])C([H])([H])C12C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.09
11777,gdb_11884,[H]C1([H])C(=O)OC2(C1([H])[H])C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11778,gdb_11885,[H]N1C([H])([H])[C@@]12C([H])([H])C(=O)C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.09
11779,gdb_11886,[H]C1([H])C(=O)C([H])([H])[C@]2(OC2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11780,gdb_11887,[H]C1([H])OC2(C([H])([H])C1=O)C([H])([H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.0
11781,gdb_11888,[H]N1C(=O)OC([H])([H])C12C([H])([H])C2([H])[H],Cs,2,1,0.73,pymatgen,7.91
11782,gdb_11889,[H]N1C(=O)N([H])C2(C1([H])[H])C([H])([H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.0
11783,gdb_11890,[H]N1C(=O)OC2(C1([H])[H])C([H])([H])C2([H])[H],Cs,2,1,0.73,pymatgen,7.91
11784,gdb_11891,[H]C1([H])OC(=O)OC12C([H])([H])C2([H])[H],Cs,2,1,0.73,pymatgen,7.81
11785,gdb_11892,[H]C1=C(C([H])([H])[H])C([H])([H])C([H])([H])C12C([H])([H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.32
11786,gdb_11893,[H]C1=C(C([H])([H])[H])C([H])([H])OC12C([H])([H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.17
11787,gdb_11894,[H]C1=C(C([H])([H])[H])C([H])([H])C([H])([H])[C@]12N([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.25
11788,gdb_11895,[H]C1=C(C([H])([H])[H])C([H])([H])C([H])([H])[C@]12OC2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11789,gdb_11896,[H]C([H])([H])C1[NH2+]C2(C([H])([H])O1)C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11790,gdb_11897,[H]N([H])C1[NH2+]C2(C([H])([H])O1)C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.25
11791,gdb_11898,[H]C1=C(C([H])([H])[H])C([H])([H])C2(C1([H])[H])C([H])([H])C2([H])[H],Cs,2,1,0.73,pymatgen,8.32
11792,gdb_11899,[H]C1=C(C([H])([H])[H])C([H])([H])[C@]2(OC2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11793,gdb_11900,[H]C([H])([H])C1[NH2+]C([H])([H])C2(O1)C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11794,gdb_11901,[H]C1=C([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C12C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11795,gdb_11902,[H]C1=C([H])[C@]2(N([H])C2([H])[H])C([H])([H])[C@]1([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.25
11796,gdb_11903,[H]C1=C([H])[C@]2(OC2([H])[H])C([H])([H])[C@]1([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11797,gdb_11904,[H]C1=C([H])[C@@]([H])(C([H])([H])[H])OC12C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11798,gdb_11905,[H]O[C@]1([H])C([H])=C([H])C2(C([H])([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11799,gdb_11906,[H]O[C@]1([H])C([H])=C([H])[C@]2(N([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.09
11800,gdb_11907,[H]O[C@]1([H])C([H])=C([H])[C@]2(OC2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11801,gdb_11908,[H]C1([H])O[C@@]([H])(C([H])([H])[H])C([H])([H])C12C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11802,gdb_11909,[H]N1C([H])([H])[C@@]12C([H])([H])O[C@@]([H])(C([H])([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.25
11803,gdb_11910,[H]C([H])([H])[C@]1([H])OC([H])([H])[C@]2(OC2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11804,gdb_11911,[H]C1([H])C([H])([H])C12C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.46
11805,gdb_11912,[H]C1([H])C([H])([H])C12O[C@@]([H])(C([H])([H])[H])C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11806,gdb_11913,[H]C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2(OC2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11807,gdb_11914,[H]C1([H])C([H])([H])C12OC([H])([H])[C@]([H])(C([H])([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11808,gdb_11915,[H]C1([H])O[C@]([H])(C([H])([H])[H])OC12C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11809,gdb_11916,[H]O[C@@]1([H])C([H])([H])C([H])([H])C2(C([H])([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.32
11810,gdb_11917,[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@@]2(OC2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11811,gdb_11918,[H]O[C@@]1([H])C([H])([H])OC2(C([H])([H])C2([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11812,gdb_11919,[H]C#C[C@]12C([H])([H])C([H])([H])[C@@]1(C([H])([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.17
11813,gdb_11920,[H]C1([H])C([H])([H])[C@@]2(C([H])([H])[H])C([H])([H])[C@@]12C#N,C1,1,1,0.6900000000000001,pymatgen,8.09
11814,gdb_11921,[H]N1C([H])([H])[C@]2(C#N)C([H])([H])[C@]12C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11815,gdb_11922,[H]C#C[C@]12C([H])([H])O[C@@]1(C([H])([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11816,gdb_11923,[H]C1([H])O[C@@]2(C([H])([H])[H])C([H])([H])[C@@]12C#N,C1,1,1,0.6900000000000001,pymatgen,7.91
11817,gdb_11924,[H]N1C([H])([H])[C@@]2(C([H])([H])[H])C([H])([H])[C@@]12C#N,C1,1,1,0.6900000000000001,pymatgen,8.0
11818,gdb_11925,[H]C#C[C@]12OC([H])([H])[C@@]1(C([H])([H])[H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.0
11819,gdb_11926,[H]C([H])([H])[C@@]12C([H])([H])O[C@]1(C#N)C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,7.91
11820,gdb_11927,[H]C#C[C@]12N([H])[C@@]1(C([H])([H])[H])C([H])([H])C2([H])[H],C1,1,1,0.6900000000000001,pymatgen,8.09
